datetime,request_count
7/10/1995 8:20,201
7/10/1995 8:25,277
7/10/1995 8:30,280
7/10/1995 8:35,257
7/10/1995 8:40,249
7/10/1995 8:45,280
7/10/1995 8:50,281
7/10/1995 8:55,294
7/10/1995 9:00,331
7/10/1995 9:05,228
7/10/1995 9:10,218
7/10/1995 9:15,249
7/10/1995 9:20,255
7/10/1995 9:25,286
7/10/1995 9:30,333
7/10/1995 9:35,442
7/10/1995 9:40,400
7/10/1995 9:45,350
7/10/1995 9:50,376
7/10/1995 9:55,334
7/10/1995 10:00,298
7/10/1995 10:05,347
7/10/1995 10:10,333
7/10/1995 10:15,294
7/10/1995 10:20,297
7/10/1995 10:25,283
7/10/1995 10:30,332
7/10/1995 10:35,404
7/10/1995 10:40,351
7/10/1995 10:45,416
7/10/1995 10:50,387
7/10/1995 10:55,479
7/10/1995 11:00,474
7/10/1995 11:05,392
7/10/1995 11:10,373
7/10/1995 11:15,483
7/10/1995 11:20,358
7/10/1995 11:25,415
7/10/1995 11:30,369
7/10/1995 11:35,431
7/10/1995 11:40,443
7/10/1995 11:45,377
7/10/1995 11:50,382
7/10/1995 11:55,417
7/10/1995 12:00,458
7/10/1995 12:05,428
7/10/1995 12:10,379
7/10/1995 12:15,357
7/10/1995 12:20,521
7/10/1995 12:25,337
7/10/1995 12:30,455
7/10/1995 12:35,414
7/10/1995 12:40,402
7/10/1995 12:45,418
7/10/1995 12:50,444
7/10/1995 12:55,420
7/10/1995 13:00,360
7/10/1995 13:05,316
7/10/1995 13:10,336
7/10/1995 13:15,424
7/10/1995 13:20,335
7/10/1995 13:25,334
7/10/1995 13:30,393
7/10/1995 13:35,334
7/10/1995 13:40,391
7/10/1995 13:45,419
7/10/1995 13:50,373
7/10/1995 13:55,451
7/10/1995 14:00,330
7/10/1995 14:05,379
7/10/1995 14:10,421
7/10/1995 14:15,525
7/10/1995 14:20,546
7/10/1995 14:25,442
7/10/1995 14:30,431
7/10/1995 14:35,409
7/10/1995 14:40,357
7/10/1995 14:45,455
7/10/1995 14:50,436
7/10/1995 14:55,371
7/10/1995 15:00,376
7/10/1995 15:05,472
7/10/1995 15:10,419
7/10/1995 15:15,403
7/10/1995 15:20,459
7/10/1995 15:25,554
7/10/1995 15:30,434
7/10/1995 15:35,580
7/10/1995 15:40,341
7/10/1995 15:45,482
7/10/1995 15:50,379
7/10/1995 15:55,415
7/10/1995 16:00,388
7/10/1995 16:05,437
7/10/1995 16:10,649
7/10/1995 16:15,450
7/11/1995 8:00,215
7/11/1995 8:05,339
7/11/1995 8:10,239
7/11/1995 8:15,328
7/11/1995 8:20,293
7/11/1995 8:25,353
7/11/1995 8:30,281
7/11/1995 8:35,334
7/11/1995 8:40,308
7/11/1995 8:45,404
7/11/1995 8:50,260
7/11/1995 8:55,256
7/11/1995 9:00,320
7/11/1995 9:05,356
7/11/1995 9:10,316
7/11/1995 9:15,276
7/11/1995 9:20,298
7/11/1995 9:25,211
7/11/1995 9:30,314
7/11/1995 9:35,354
7/11/1995 9:40,354
7/11/1995 9:45,260
